"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"2001"	"2001"	"Wyoming"	"56"	83	494657	17
	"2002"	"2002"	"Alabama"	"01"	514	4480089	11
	"2002"	"2002"	"Alaska"	"02"	132	642337	21
	"2002"	"2002"	"Arizona"	"04"	886	5396255	16
	"2002"	"2002"	"Arkansas"	"05"	377	2705927	14
	"2002"	"2002"	"California"	"06"	3228	34871843	9
	"2002"	"2002"	"Colorado"	"08"	727	4490406	16
	"2002"	"2002"	"Connecticut"	"09"	260	3458749	8
	"2002"	"2002"	"Delaware"	"10"	74	806169	9
	"2002"	"2002"	"District of Columbia"	"11"	31	573158	5
	"2002"	"2002"	"Florida"	"12"	2338	16689370	14
	"2002"	"2002"	"Georgia"	"13"	909	8508256	11
	"2002"	"2002"	"Hawaii"	"15"	120	1239613	10
	"2002"	"2002"	"Idaho"	"16"	202	1340372	15
	"2002"	"2002"	"Illinois"	"17"	1145	12525556	9
	"2002"	"2002"	"Indiana"	"18"	743	6155967	12
	"2002"	"2002"	"Iowa"	"19"	314	2934234	11
	"2002"	"2002"	"Kansas"	"20"	345	2713535	13
	"2002"	"2002"	"Kentucky"	"21"	540	4089875	13
	"2002"	"2002"	"Louisiana"	"22"	499	4497267	11
	"2002"	"2002"	"Maine"	"23"	166	1295960	13
	"2002"	"2002"	"Maryland"	"24"	477	5440389	9
	"2002"	"2002"	"Massachusetts"	"25"	436	6417206	7
	"2002"	"2002"	"Michigan"	"26"	1106	10015710	11
	"2002"	"2002"	"Minnesota"	"27"	497	5018935	10
	"2002"	"2002"	"Mississippi"	"28"	343	2858681	12
	"2002"	"2002"	"Missouri"	"29"	693	5674825	12
	"2002"	"2002"	"Montana"	"30"	184	911667	20
	"2002"	"2002"	"Nebraska"	"31"	201	1728292	12
	"2002"	"2002"	"Nevada"	"32"	423	2173791	19
	"2002"	"2002"	"New Hampshire"	"33"	132	1269089	10
